StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
恆春,467590,2025-04-01T00:00:00+08:00,陰,>30,3.7,30.0,2.5,22.5,74,1011.9,0.0
恆春,467590,2025-04-01T01:00:00+08:00,陰,>30,0.0,10.0,4.1,22.3,73,1011.6,0.0
恆春,467590,2025-04-01T02:00:00+08:00,陰,>30,0.0,10.0,3.1,22.2,74,1011.5,0.0
恆春,467590,2025-04-01T03:00:00+08:00,陰,>30,0.0,10.0,2.0,21.8,76,1011.2,0.0
恆春,467590,2025-04-01T04:00:00+08:00,陰,>30,0.0,50.0,1.2,21.9,76,1011.0,0.0
恆春,467590,2025-04-01T05:00:00+08:00,陰,>30,0.0,150.0,0.5,21.6,79,1011.0,0.0
恆春,467590,2025-04-01T06:00:00+08:00,陰,>30,0.0,350.0,2.2,21.5,79,1011.7,0.0
恆春,467590,2025-04-01T07:00:00+08:00,陰,>30,0.0,120.0,1.8,21.6,78,1011.8,0.0
恆春,467590,2025-04-01T08:00:00+08:00,陰,>30,0.0,90.0,3.0,22.2,76,1011.9,1.0
恆春,467590,2025-04-01T09:00:00+08:00,陰,21-30,0.2,10.0,1.7,23.0,72,1012.5,1.0
恆春,467590,2025-04-01T10:00:00+08:00,陰,>30,0.2,340.0,2.0,22.4,74,1012.9,1.0
恆春,467590,2025-04-01T11:00:00+08:00,陰,21-30,0.3,110.0,2.7,24.2,65,1012.2,2.0
恆春,467590,2025-04-01T12:00:00+08:00,陰,>30,0.3,10.0,3.2,24.6,62,1011.7,4.0
恆春,467590,2025-04-01T13:00:00+08:00,陰,>30,0.3,20.0,3.0,24.2,64,1011.1,3.0
恆春,467590,2025-04-01T14:00:00+08:00,陰,21-30,0.3,30.0,3.8,23.8,66,1010.4,2.0
恆春,467590,2025-04-01T15:00:00+08:00,陰,>30,0.3,40.0,3.8,23.8,67,1009.7,3.0
恆春,467590,2025-04-01T16:00:00+08:00,陰,>30,0.3,40.0,2.9,22.0,74,1010.0,1.0
恆春,467590,2025-04-01T17:00:00+08:00,陰,16-20,0.3,60.0,3.8,21.5,75,1010.5,0.0
恆春,467590,2025-04-01T18:00:00+08:00,陰,>30,0.3,50.0,3.4,21.2,75,1010.8,0.0
恆春,467590,2025-04-01T19:00:00+08:00,陰,>30,0.3,60.0,3.5,20.9,77,1011.2,0.0
恆春,467590,2025-04-01T20:00:00+08:00,晴,>30,0.3,50.0,4.8,20.5,76,1011.7,0.0
恆春,467590,2025-04-01T21:00:00+08:00,陰,>30,0.3,40.0,4.0,20.5,74,1012.4,0.0
恆春,467590,2025-04-01T22:00:00+08:00,陰,>30,0.3,50.0,4.7,20.7,72,1012.3,0.0
恆春,467590,2025-04-01T23:00:00+08:00,陰,>30,0.3,30.0,5.4,20.3,74,1012.6,0.0
恆春,467590,2025-04-02T00:00:00+08:00,陰,>30,0.3,40.0,3.8,20.1,74,1012.7,0.0
恆春,467590,2025-04-02T01:00:00+08:00,陰,>30,0.0,50.0,2.4,20.1,75,1012.5,0.0
恆春,467590,2025-04-02T02:00:00+08:00,陰,>30,0.0,30.0,3.6,19.9,75,1012.1,0.0
恆春,467590,2025-04-02T03:00:00+08:00,陰,>30,0.0,320.0,1.5,19.9,73,1012.2,0.0
恆春,467590,2025-04-02T04:00:00+08:00,陰,>30,0.0,350.0,1.7,19.8,73,1012.6,0.0
恆春,467590,2025-04-02T05:00:00+08:00,陰,>30,0.0,350.0,2.5,19.9,72,1012.9,0.0
恆春,467590,2025-04-02T06:00:00+08:00,陰,>30,0.0,350.0,1.9,20.2,71,1013.5,0.0
恆春,467590,2025-04-02T07:00:00+08:00,陰,>30,0.0,360.0,2.0,20.5,71,1014.1,0.0
恆春,467590,2025-04-02T08:00:00+08:00,陰,16-20,0.0,10.0,2.3,20.9,70,1014.5,1.0
恆春,467590,2025-04-02T09:00:00+08:00,陰,16-20,0.0,20.0,3.6,21.0,69,1014.8,1.0
恆春,467590,2025-04-02T10:00:00+08:00,陰,>30,0.0,20.0,2.4,21.0,69,1015.5,1.0
恆春,467590,2025-04-02T11:00:00+08:00,陰,16-20,0.0,360.0,2.6,21.6,65,1015.3,2.0
恆春,467590,2025-04-02T12:00:00+08:00,陰,>30,0.0,30.0,3.3,21.4,66,1014.7,1.0
恆春,467590,2025-04-02T13:00:00+08:00,陰,>30,0.0,30.0,3.1,21.9,68,1013.4,1.0
恆春,467590,2025-04-02T14:00:00+08:00,陰,16-20,0.0,40.0,3.6,22.5,65,1012.7,3.0
恆春,467590,2025-04-02T15:00:00+08:00,陰,>30,0.0,40.0,4.0,22.0,67,1012.4,2.0
恆春,467590,2025-04-02T16:00:00+08:00,陰,>30,0.0,50.0,3.3,21.4,70,1012.7,1.0
恆春,467590,2025-04-02T17:00:00+08:00,陰,16-20,0.0,30.0,4.2,20.5,73,1013.0,0.0
恆春,467590,2025-04-02T18:00:00+08:00,陰,>30,0.0,40.0,5.6,20.1,76,1013.3,0.0
恆春,467590,2025-04-02T19:00:00+08:00,陰,>30,0.0,60.0,4.7,20.1,76,1013.8,0.0
恆春,467590,2025-04-02T20:00:00+08:00,陰,>30,0.0,50.0,6.5,19.8,75,1014.0,0.0
恆春,467590,2025-04-02T21:00:00+08:00,陰,>30,0.0,40.0,7.4,19.9,72,1014.2,0.0
恆春,467590,2025-04-02T22:00:00+08:00,陰,>30,0.0,50.0,6.7,20.2,66,1014.5,0.0
恆春,467590,2025-04-02T23:00:00+08:00,陰,>30,0.0,40.0,5.9,20.4,64,1014.3,0.0
恆春,467590,2025-04-03T01:00:00+08:00,陰,>30,0.0,40.0,5.8,20.5,62,1013.6,0.0
恆春,467590,2025-04-03T02:00:00+08:00,陰,>30,0.0,30.0,5.7,20.4,62,1013.5,0.0
恆春,467590,2025-04-03T03:00:00+08:00,陰,>30,0.0,30.0,5.3,20.4,62,1013.5,0.0
恆春,467590,2025-04-03T04:00:00+08:00,陰,>30,0.0,30.0,4.7,20.5,61,1013.6,0.0
恆春,467590,2025-04-03T05:00:00+08:00,陰,>30,0.0,30.0,4.2,20.5,61,1014.2,0.0
恆春,467590,2025-04-03T06:00:00+08:00,陰,>30,0.0,40.0,4.5,20.9,62,1014.4,0.0
恆春,467590,2025-04-03T07:00:00+08:00,陰,>30,0.0,50.0,3.9,21.1,64,1014.9,0.0
恆春,467590,2025-04-03T08:00:00+08:00,陰,16-20,0.0,30.0,6.2,21.0,64,1015.5,0.0
恆春,467590,2025-04-03T09:00:00+08:00,陰,16-20,0.0,50.0,3.3,21.4,63,1015.6,1.0
恆春,467590,2025-04-03T10:00:00+08:00,陰,>30,0.1,50.0,6.2,22.4,59,1015.7,3.0
恆春,467590,2025-04-03T11:00:00+08:00,陰,16-20,0.1,50.0,5.4,21.8,61,1015.4,3.0
恆春,467590,2025-04-03T12:00:00+08:00,陰,>30,0.1,40.0,4.5,22.3,59,1014.7,3.0
恆春,467590,2025-04-03T13:00:00+08:00,陰,>30,0.1,30.0,5.0,22.3,62,1014.3,3.0
恆春,467590,2025-04-03T14:00:00+08:00,陰,21-30,0.1,40.0,6.0,23.0,60,1013.6,4.0
恆春,467590,2025-04-03T15:00:00+08:00,陰,>30,0.1,40.0,5.1,23.0,58,1013.4,3.0
