StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
發祥,C2H9M0,2025-08-01T00:00:00+08:00,陰,-99,-99,300.0,1.5,19.2,98,-99,-99
發祥,C2H9M0,2025-08-01T01:00:00+08:00,陰,-99,-99,10.0,0.3,19.0,98,-99,-99
發祥,C2H9M0,2025-08-01T02:00:00+08:00,多雲,-99,-99,270.0,0.9,18.8,-99,-99,-99
發祥,C2H9M0,2025-08-01T03:00:00+08:00,多雲,-99,-99,70.0,0.6,18.9,-99,-99,-99
發祥,C2H9M0,2025-08-01T04:00:00+08:00,多雲,-99,-99,310.0,0.3,18.9,-99,-99,-99
發祥,C2H9M0,2025-08-01T05:00:00+08:00,多雲,-99,-99,40.0,0.4,18.7,-99,-99,-99
發祥,C2H9M0,2025-08-01T06:00:00+08:00,陰,-99,-99,-99,0.5,18.9,-99,-99,-99
發祥,C2H9M0,2025-08-01T07:00:00+08:00,陰,-99,-99,270.0,0.9,19.4,98,-99,-99
發祥,C2H9M0,2025-08-01T08:00:00+08:00,陰,-99,-99,320.0,0.6,20.4,97,-99,-99
發祥,C2H9M0,2025-08-01T09:00:00+08:00,陰,-99,-99,-99,0.3,21.0,98,-99,-99
發祥,C2H9M0,2025-08-01T10:00:00+08:00,陰,-99,-99,70.0,0.3,22.7,91,-99,-99
發祥,C2H9M0,2025-08-01T11:00:00+08:00,陰,-99,-99,130.0,0.5,26.1,79,-99,-99
發祥,C2H9M0,2025-08-01T12:00:00+08:00,陰,-99,-99,120.0,0.9,26.8,71,-99,-99
發祥,C2H9M0,2025-08-01T13:00:00+08:00,陰,-99,-99,100.0,1.7,26.0,68,-99,-99
發祥,C2H9M0,2025-08-01T14:00:00+08:00,陰,-99,-99,110.0,1.3,26.0,74,-99,-99
發祥,C2H9M0,2025-08-01T15:00:00+08:00,陰,-99,-99,120.0,1.8,23.3,84,-99,-99
發祥,C2H9M0,2025-08-01T16:00:00+08:00,陰,-99,-99,110.0,1.1,23.5,86,-99,-99
發祥,C2H9M0,2025-08-01T17:00:00+08:00,陰,-99,-99,100.0,0.6,23.0,90,-99,-99
發祥,C2H9M0,2025-08-01T18:00:00+08:00,陰有雨,-99,-99,110.0,1.2,20.7,97,-99,-99
發祥,C2H9M0,2025-08-01T18:50:00+08:00,陰,-99,-99,80.0,1.8,20.6,97,-99,-99
