StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
三隻寮,C2H9D0,2025-07-01T00:00:00+08:00,晴,-99,-99,0.0,0.1,24.0,-99,-99,-99
三隻寮,C2H9D0,2025-07-01T01:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
三隻寮,C2H9D0,2025-07-01T02:00:00+08:00,晴,-99,-99,0.0,0.2,23.6,96,-99,-99
三隻寮,C2H9D0,2025-07-01T03:00:00+08:00,晴,-99,-99,0.0,0.2,23.2,95,-99,-99
三隻寮,C2H9D0,2025-07-01T04:00:00+08:00,晴,-99,-99,270.0,0.4,22.9,96,-99,-99
三隻寮,C2H9D0,2025-07-01T05:00:00+08:00,晴,-99,-99,290.0,0.4,22.5,94,-99,-99
三隻寮,C2H9D0,2025-07-01T06:00:00+08:00,晴,-99,-99,290.0,0.4,23.0,87,-99,-99
三隻寮,C2H9D0,2025-07-01T07:00:00+08:00,晴,-99,-99,290.0,0.3,25.5,79,-99,-99
三隻寮,C2H9D0,2025-07-01T08:00:00+08:00,多雲,-99,-99,10.0,0.3,27.9,74,-99,-99
三隻寮,C2H9D0,2025-07-01T09:00:00+08:00,晴,-99,-99,100.0,0.8,29.4,65,-99,-99
三隻寮,C2H9D0,2025-07-01T10:00:00+08:00,陰,-99,-99,-99,0.5,30.2,64,-99,-99
三隻寮,C2H9D0,2025-07-01T11:00:00+08:00,晴,-99,-99,250.0,0.4,30.0,67,-99,-99
三隻寮,C2H9D0,2025-07-01T12:00:00+08:00,晴,-99,-99,150.0,0.6,32.9,55,-99,-99
三隻寮,C2H9D0,2025-07-01T13:00:00+08:00,多雲,-99,-99,240.0,0.5,33.1,59,-99,-99
三隻寮,C2H9D0,2025-07-01T14:00:00+08:00,多雲,-99,-99,270.0,0.6,32.9,63,-99,-99
三隻寮,C2H9D0,2025-07-01T15:00:00+08:00,陰,-99,-99,270.0,0.6,31.2,68,-99,-99
三隻寮,C2H9D0,2025-07-01T16:00:00+08:00,陰,-99,-99,290.0,0.9,30.1,73,-99,-99
三隻寮,C2H9D0,2025-07-01T17:00:00+08:00,-99,-99,-99,290.0,0.5,28.9,77,-99,-99
三隻寮,C2H9D0,2025-07-01T18:00:00+08:00,陰,-99,-99,300.0,0.5,27.5,84,-99,-99
三隻寮,C2H9D0,2025-07-01T19:00:00+08:00,多雲,-99,-99,320.0,0.6,26.1,86,-99,-99
三隻寮,C2H9D0,2025-07-01T20:00:00+08:00,晴,-99,-99,40.0,0.3,25.1,93,-99,-99
三隻寮,C2H9D0,2025-07-01T21:00:00+08:00,晴,-99,-99,0.0,0.2,25.0,93,-99,-99
三隻寮,C2H9D0,2025-07-01T22:00:00+08:00,晴,-99,-99,60.0,0.4,24.3,96,-99,-99
三隻寮,C2H9D0,2025-07-01T23:00:00+08:00,晴,-99,-99,0.0,0.2,24.2,97,-99,-99
三隻寮,C2H9D0,2025-07-02T00:00:00+08:00,晴,-99,-99,0.0,0.2,24.3,96,-99,-99
三隻寮,C2H9D0,2025-07-02T01:00:00+08:00,晴,-99,-99,0.0,0.0,24.1,97,-99,-99
三隻寮,C2H9D0,2025-07-02T02:00:00+08:00,晴,-99,-99,0.0,0.2,23.8,97,-99,-99
三隻寮,C2H9D0,2025-07-02T03:00:00+08:00,多雲,-99,-99,0.0,0.0,23.5,98,-99,-99
三隻寮,C2H9D0,2025-07-02T04:00:00+08:00,多雲,-99,-99,0.0,0.1,23.3,96,-99,-99
三隻寮,C2H9D0,2025-07-02T05:00:00+08:00,晴,-99,-99,0.0,0.2,22.9,98,-99,-99
三隻寮,C2H9D0,2025-07-02T06:00:00+08:00,晴,-99,-99,0.0,0.2,23.1,-99,-99,-99
三隻寮,C2H9D0,2025-07-02T07:00:00+08:00,晴,-99,-99,0.0,0.1,24.1,93,-99,-99
三隻寮,C2H9D0,2025-07-02T08:00:00+08:00,晴,-99,-99,130.0,0.6,27.5,76,-99,-99
