StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
馬烈霸,C2H9L0,2025-04-01T00:00:00+08:00,陰有雨,-99,-99.0,140.0,1.6,10.3,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T01:00:00+08:00,陰有雨,-99,-99.0,140.0,2.2,9.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T02:00:00+08:00,陰有雨,-99,-99.0,130.0,3.0,9.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T03:00:00+08:00,陰,-99,-99.0,140.0,3.0,10.4,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T04:00:00+08:00,陰,-99,-99.0,130.0,2.9,10.1,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T05:00:00+08:00,陰有雨,-99,-99.0,140.0,2.7,10.0,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T06:00:00+08:00,陰,-99,-99.0,140.0,2.7,9.8,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T07:00:00+08:00,陰有雨,-99,-99.0,140.0,2.2,9.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T08:00:00+08:00,陰,-99,-99.0,130.0,3.4,9.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T09:00:00+08:00,陰,-99,-99.0,140.0,2.7,9.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T10:00:00+08:00,陰,-99,-99.0,140.0,2.7,9.8,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T11:00:00+08:00,陰,-99,-99.0,130.0,2.4,9.8,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T12:00:00+08:00,陰,-99,-99.0,140.0,1.6,10.0,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T13:00:00+08:00,陰,-99,-99.0,140.0,1.8,9.8,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T14:00:00+08:00,陰,-99,-99.0,140.0,0.9,9.5,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T15:00:00+08:00,陰,-99,-99.0,140.0,1.3,9.3,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T16:00:00+08:00,陰,-99,-99.0,130.0,2.1,9.2,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T17:00:00+08:00,陰,-99,-99.0,140.0,1.5,9.3,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T18:00:00+08:00,陰,-99,-99.0,140.0,1.3,9.2,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T19:00:00+08:00,陰,-99,-99.0,130.0,1.3,9.3,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T20:00:00+08:00,晴,-99,-99.0,140.0,1.6,9.3,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T21:00:00+08:00,陰,-99,-99.0,140.0,1.7,9.4,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T22:00:00+08:00,陰,-99,-99.0,130.0,1.3,9.3,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-01T23:00:00+08:00,陰,-99,-99.0,140.0,1.5,9.1,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T00:00:00+08:00,陰,-99,-99.0,140.0,0.6,9.0,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T01:00:00+08:00,陰,-99,-99.0,130.0,1.0,9.0,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T02:00:00+08:00,陰,-99,-99.0,150.0,0.5,9.0,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T03:00:00+08:00,陰,-99,-99.0,140.0,1.2,8.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T04:00:00+08:00,陰,-99,-99.0,130.0,1.5,8.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T05:00:00+08:00,陰,-99,-99.0,140.0,1.6,8.6,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T06:00:00+08:00,陰,-99,-99.0,180.0,0.6,8.6,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T07:00:00+08:00,陰,-99,-99.0,140.0,1.2,8.8,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T08:00:00+08:00,陰,-99,-99.0,130.0,1.6,9.1,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T09:00:00+08:00,陰,-99,-99.0,150.0,1.7,9.0,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T10:00:00+08:00,陰,-99,-99.0,140.0,1.2,9.1,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T11:00:00+08:00,陰,-99,-99.0,160.0,1.1,9.2,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T12:00:00+08:00,陰,-99,-99.0,140.0,1.7,9.2,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T13:00:00+08:00,陰,-99,-99.0,140.0,1.5,10.4,99,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T14:00:00+08:00,陰,-99,-99.0,130.0,1.6,9.8,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T15:00:00+08:00,陰,-99,-99.0,140.0,1.8,9.4,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T16:00:00+08:00,陰,-99,-99.0,130.0,1.8,9.6,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T17:00:00+08:00,陰,-99,-99.0,140.0,1.5,9.6,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T18:00:00+08:00,陰,-99,-99.0,140.0,1.7,9.1,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T19:00:00+08:00,陰,-99,-99.0,130.0,1.7,8.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T20:00:00+08:00,陰,-99,-99.0,150.0,1.8,8.7,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T21:00:00+08:00,陰,-99,-99.0,140.0,1.3,9.0,97,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T22:00:00+08:00,陰,-99,-99.0,150.0,0.9,9.2,94,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-02T23:00:00+08:00,陰,-99,-99.0,140.0,1.1,9.1,97,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T01:00:00+08:00,陰,-99,-99.0,140.0,1.1,8.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T02:00:00+08:00,陰,-99,-99.0,140.0,1.5,8.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T03:00:00+08:00,陰,-99,-99.0,130.0,1.8,8.8,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T04:00:00+08:00,陰,-99,-99.0,140.0,1.8,8.7,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T05:00:00+08:00,陰,-99,-99.0,130.0,1.2,8.6,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T06:00:00+08:00,陰,-99,-99.0,140.0,1.6,8.6,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T07:00:00+08:00,陰,-99,-99.0,130.0,2.1,8.6,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T08:00:00+08:00,陰,-99,-99.0,140.0,1.5,8.8,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T09:00:00+08:00,陰,-99,-99.0,140.0,2.2,9.0,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T10:00:00+08:00,陰,-99,-99.0,150.0,1.5,9.2,99,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T11:00:00+08:00,陰,-99,-99.0,130.0,2.1,8.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T12:00:00+08:00,陰,-99,-99.0,140.0,1.8,8.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T13:00:00+08:00,陰,-99,-99.0,140.0,1.3,8.8,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T14:00:00+08:00,陰,-99,-99.0,140.0,1.8,8.7,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T15:00:00+08:00,陰,-99,-99.0,150.0,1.8,8.7,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T16:00:00+08:00,陰,-99,-99.0,140.0,1.8,9.8,99,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T17:00:00+08:00,陰,-99,-99.0,140.0,1.5,9.9,96,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T18:00:00+08:00,陰,-99,-99.0,140.0,0.9,9.1,99,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T19:00:00+08:00,陰,-99,-99.0,140.0,0.8,8.9,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T20:00:00+08:00,陰,-99,-99.0,150.0,0.8,8.2,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T21:00:00+08:00,陰,-99,-99.0,150.0,1.3,8.0,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T22:00:00+08:00,陰,-99,-99.0,180.0,0.8,7.5,100,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-03T23:00:00+08:00,陰,-99,-99.0,150.0,1.1,7.6,96,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T00:00:00+08:00,陰,-99,-99.0,150.0,0.8,7.3,96,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T01:00:00+08:00,陰,-99,-99.0,150.0,0.9,7.4,94,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T02:00:00+08:00,陰,-99,-99.0,160.0,1.1,7.0,86,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T03:00:00+08:00,陰,-99,-99.0,10.0,0.5,7.0,91,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T04:00:00+08:00,陰,-99,-99.0,10.0,2.0,7.4,91,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T05:00:00+08:00,陰,-99,-99.0,350.0,0.6,7.4,90,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T06:00:00+08:00,陰,-99,-99.0,20.0,1.6,7.7,85,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T07:00:00+08:00,多雲,-99,-99.0,340.0,1.3,8.8,73,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T08:00:00+08:00,多雲,-99,-99.0,140.0,0.9,14.3,55,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T09:00:00+08:00,晴,-99,-99.0,140.0,1.1,15.1,55,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T10:00:00+08:00,晴,-99,-99.0,170.0,1.2,15.3,56,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T11:00:00+08:00,晴,-99,-99.0,180.0,1.3,15.8,64,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T12:00:00+08:00,晴,-99,-99.0,160.0,1.5,16.9,63,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T13:00:00+08:00,多雲,-99,-99.0,170.0,2.1,17.0,60,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T14:00:00+08:00,陰,-99,-99.0,160.0,2.0,16.4,60,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T15:00:00+08:00,陰,-99,-99.0,160.0,1.6,14.6,67,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T16:00:00+08:00,陰,-99,-99.0,150.0,1.7,15.2,68,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T17:00:00+08:00,陰,-99,-99.0,170.0,1.3,12.0,80,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T18:00:00+08:00,陰,-99,-99.0,140.0,1.8,10.2,96,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T19:00:00+08:00,陰,-99,-99.0,140.0,3.1,9.3,92,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T20:00:00+08:00,陰,-99,-99.0,150.0,1.8,9.7,86,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T21:00:00+08:00,陰,-99,-99.0,130.0,1.3,9.8,85,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T22:00:00+08:00,陰,-99,-99.0,150.0,0.6,9.6,87,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-04T23:00:00+08:00,陰,-99,-99.0,130.0,1.7,9.7,90,-99.0,-99.0
馬烈霸,C2H9L0,2025-04-05T00:00:00+08:00,陰,-99,-99.0,130.0,0.8,9.5,86,-99.0,-99.0
