StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
口湖工作站,12J990,2025-06-15T22:00:00+08:00,陰,-99,-99,190.0,3.2,29.5,59,-99,-99
口湖工作站,12J990,2025-06-15T23:00:00+08:00,陰,-99,-99,180.0,3.8,29.1,60,-99,-99
口湖工作站,12J990,2025-06-16T00:00:00+08:00,陰,-99,-99,190.0,3.9,28.9,61,-99,-99
口湖工作站,12J990,2025-06-16T01:00:00+08:00,陰,-99,-99,180.0,3.8,28.4,64,-99,-99
口湖工作站,12J990,2025-06-16T02:00:00+08:00,陰,-99,-99,190.0,3.5,28.2,64,-99,-99
口湖工作站,12J990,2025-06-16T03:00:00+08:00,陰,-99,-99,180.0,4.1,28.4,66,-99,-99
口湖工作站,12J990,2025-06-16T04:00:00+08:00,陰,-99,-99,180.0,3.7,28.3,66,-99,-99
口湖工作站,12J990,2025-06-16T05:00:00+08:00,陰有雷,-99,-99,190.0,3.8,28.5,66,-99,-99
口湖工作站,12J990,2025-06-16T06:00:00+08:00,陰有雷,-99,-99,180.0,3.3,28.1,70,-99,-99
口湖工作站,12J990,2025-06-16T07:00:00+08:00,陰有雷雨,-99,-99,270.0,4.9,26.1,87,-99,-99
口湖工作站,12J990,2025-06-16T08:00:00+08:00,陰有雷雨,-99,-99,170.0,2.7,25.6,91,-99,-99
口湖工作站,12J990,2025-06-16T09:00:00+08:00,陰,-99,-99,140.0,2.3,25.3,91,-99,-99
口湖工作站,12J990,2025-06-16T10:00:00+08:00,陰,-99,-99,160.0,2.7,25.7,88,-99,-99
口湖工作站,12J990,2025-06-16T11:00:00+08:00,陰,-99,-99,180.0,2.7,27.5,81,-99,-99
口湖工作站,12J990,2025-06-16T12:00:00+08:00,陰,-99,-99,190.0,2.9,29.1,74,-99,-99
口湖工作站,12J990,2025-06-16T13:00:00+08:00,陰,-99,-99,210.0,3.2,30.4,71,-99,-99
口湖工作站,12J990,2025-06-16T14:00:00+08:00,陰,-99,-99,230.0,3.5,30.7,69,-99,-99
口湖工作站,12J990,2025-06-16T15:00:00+08:00,陰,-99,-99,230.0,3.9,30.5,69,-99,-99
