StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
雲林分場,72K220,2025-05-10T09:00:00+08:00,陰有雨,-99,-99,190.0,1.7,25.0,99,-99,-99
雲林分場,72K220,2025-05-10T10:00:00+08:00,陰,-99,-99,240.0,0.6,25.5,99,-99,-99
雲林分場,72K220,2025-05-10T11:00:00+08:00,陰,-99,-99,250.0,0.5,25.7,98,-99,-99
雲林分場,72K220,2025-05-10T12:00:00+08:00,陰,-99,-99,260.0,1.3,25.4,97,-99,-99
雲林分場,72K220,2025-05-10T13:00:00+08:00,陰,-99,-99,310.0,2.6,24.6,98,-99,-99
雲林分場,72K220,2025-05-10T14:00:00+08:00,陰,-99,-99,50.0,1.6,25.4,97,-99,-99
雲林分場,72K220,2025-05-10T15:00:00+08:00,陰,-99,-99,110.0,0.8,26.8,91,-99,-99
雲林分場,72K220,2025-05-10T16:00:00+08:00,陰,-99,-99,190.0,0.9,27.0,91,-99,-99
雲林分場,72K220,2025-05-10T17:00:00+08:00,陰,-99,-99,0.0,0.0,27.8,85,-99,-99
雲林分場,72K220,2025-05-10T20:00:00+08:00,陰,-99,-99,0.0,0.0,26.0,95,-99,-99
雲林分場,72K220,2025-05-10T21:00:00+08:00,陰,-99,-99,0.0,0.0,25.9,96,-99,-99
雲林分場,72K220,2025-05-10T22:00:00+08:00,陰,-99,-99,0.0,0.0,25.9,95,-99,-99
雲林分場,72K220,2025-05-10T23:00:00+08:00,陰,-99,-99,160.0,0.6,25.7,97,-99,-99
雲林分場,72K220,2025-05-11T00:00:00+08:00,陰,-99,-99,0.0,0.0,25.5,97,-99,-99
雲林分場,72K220,2025-05-11T01:00:00+08:00,陰,-99,-99,250.0,0.5,25.4,98,-99,-99
雲林分場,72K220,2025-05-11T02:00:00+08:00,陰,-99,-99,340.0,2.7,21.5,93,-99,-99
雲林分場,72K220,2025-05-11T03:00:00+08:00,陰,-99,-99,80.0,2.0,21.1,89,-99,-99
雲林分場,72K220,2025-05-11T04:00:00+08:00,陰,-99,-99,300.0,0.9,21.4,90,-99,-99
雲林分場,72K220,2025-05-11T05:00:00+08:00,陰,-99,-99,360.0,1.1,21.9,91,-99,-99
雲林分場,72K220,2025-05-11T08:00:00+08:00,陰,-99,-99,30.0,1.5,23.0,88,-99,-99
雲林分場,72K220,2025-05-11T09:00:00+08:00,晴,-99,-99,30.0,1.8,22.3,90,-99,-99
雲林分場,72K220,2025-05-11T10:00:00+08:00,陰,-99,-99,350.0,1.6,22.3,92,-99,-99
雲林分場,72K220,2025-05-11T11:00:00+08:00,陰,-99,-99,10.0,1.9,22.6,90,-99,-99
雲林分場,72K220,2025-05-11T13:00:00+08:00,陰,-99,-99,10.0,2.9,21.6,95,-99,-99
雲林分場,72K220,2025-05-11T14:00:00+08:00,陰,-99,-99,20.0,2.2,21.0,97,-99,-99
雲林分場,72K220,2025-05-11T15:00:00+08:00,陰,-99,-99,20.0,1.8,21.0,96,-99,-99
