StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
農業試驗所,G2F820,2025-07-01T00:00:00+08:00,晴,-99,-99,140.0,1.2,27.3,92,-99,-99
農業試驗所,G2F820,2025-07-01T01:00:00+08:00,晴,-99,-99,0.0,0.0,27.2,92,-99,-99
農業試驗所,G2F820,2025-07-01T02:00:00+08:00,晴,-99,-99,120.0,0.6,26.7,95,-99,-99
農業試驗所,G2F820,2025-07-01T03:00:00+08:00,晴,-99,-99,130.0,0.5,26.4,95,-99,-99
農業試驗所,G2F820,2025-07-01T04:00:00+08:00,晴,-99,-99,170.0,1.6,26.8,92,-99,-99
農業試驗所,G2F820,2025-07-01T05:00:00+08:00,晴,-99,-99,180.0,0.7,26.3,93,-99,-99
農業試驗所,G2F820,2025-07-01T06:00:00+08:00,晴,-99,-99,40.0,0.9,26.7,92,-99,-99
農業試驗所,G2F820,2025-07-01T07:00:00+08:00,晴,-99,-99,170.0,1.0,29.0,78,-99,-99
農業試驗所,G2F820,2025-07-01T08:00:00+08:00,晴,-99,-99,340.0,1.4,30.1,75,-99,-99
農業試驗所,G2F820,2025-07-01T09:00:00+08:00,晴,-99,-99,270.0,1.3,30.9,67,-99,-99
農業試驗所,G2F820,2025-07-01T10:00:00+08:00,陰,-99,-99,320.0,0.9,33.0,60,-99,-99
農業試驗所,G2F820,2025-07-01T11:00:00+08:00,多雲,-99,-99,290.0,1.5,33.8,62,-99,-99
農業試驗所,G2F820,2025-07-01T12:00:00+08:00,晴,-99,-99,210.0,2.3,33.5,58,-99,-99
農業試驗所,G2F820,2025-07-01T13:00:00+08:00,多雲,-99,-99,300.0,4.1,33.1,67,-99,-99
農業試驗所,G2F820,2025-07-01T14:00:00+08:00,多雲,-99,-99,290.0,4.2,33.9,65,-99,-99
農業試驗所,G2F820,2025-07-01T15:00:00+08:00,陰,-99,-99,290.0,4.6,34.2,61,-99,-99
農業試驗所,G2F820,2025-07-01T16:00:00+08:00,陰,-99,-99,280.0,4.9,32.6,68,-99,-99
農業試驗所,G2F820,2025-07-01T17:00:00+08:00,-99,-99,-99,270.0,4.1,32.5,70,-99,-99
農業試驗所,G2F820,2025-07-01T18:00:00+08:00,多雲,-99,-99,280.0,3.9,31.3,71,-99,-99
農業試驗所,G2F820,2025-07-01T19:00:00+08:00,多雲,-99,-99,240.0,2.0,30.1,80,-99,-99
農業試驗所,G2F820,2025-07-01T20:00:00+08:00,多雲,-99,-99,200.0,2.0,29.5,84,-99,-99
農業試驗所,G2F820,2025-07-01T21:00:00+08:00,晴,-99,-99,120.0,1.5,28.5,88,-99,-99
農業試驗所,G2F820,2025-07-01T22:00:00+08:00,晴,-99,-99,0.0,0.0,28.0,90,-99,-99
農業試驗所,G2F820,2025-07-01T23:00:00+08:00,晴,-99,-99,200.0,0.7,27.9,89,-99,-99
農業試驗所,G2F820,2025-07-02T00:00:00+08:00,晴,-99,-99,0.0,0.0,27.5,91,-99,-99
農業試驗所,G2F820,2025-07-02T01:00:00+08:00,晴,-99,-99,100.0,1.2,27.0,91,-99,-99
農業試驗所,G2F820,2025-07-02T02:00:00+08:00,晴,-99,-99,140.0,0.8,26.6,93,-99,-99
農業試驗所,G2F820,2025-07-02T03:00:00+08:00,多雲,-99,-99,140.0,0.4,26.6,93,-99,-99
農業試驗所,G2F820,2025-07-02T04:00:00+08:00,陰,-99,-99,290.0,0.3,26.9,93,-99,-99
農業試驗所,G2F820,2025-07-02T05:00:00+08:00,多雲,-99,-99,0.0,0.0,27.0,91,-99,-99
農業試驗所,G2F820,2025-07-02T06:00:00+08:00,多雲,-99,-99,170.0,1.7,27.5,91,-99,-99
農業試驗所,G2F820,2025-07-02T07:00:00+08:00,晴,-99,-99,150.0,1.6,28.9,81,-99,-99
農業試驗所,G2F820,2025-07-02T08:00:00+08:00,晴,-99,-99,160.0,0.8,30.5,74,-99,-99
農業試驗所,G2F820,2025-07-02T09:00:00+08:00,晴,-99,-99,190.0,1.3,32.0,66,-99,-99
農業試驗所,G2F820,2025-07-02T10:00:00+08:00,晴,-99,-99,60.0,1.0,32.6,64,-99,-99
農業試驗所,G2F820,2025-07-02T11:00:00+08:00,晴,-99,-99,280.0,2.1,33.1,64,-99,-99
農業試驗所,G2F820,2025-07-02T12:00:00+08:00,多雲,-99,-99,300.0,5.0,33.1,69,-99,-99
農業試驗所,G2F820,2025-07-02T13:00:00+08:00,多雲,-99,-99,310.0,5.4,32.4,68,-99,-99
農業試驗所,G2F820,2025-07-02T14:00:00+08:00,多雲,-99,-99,330.0,4.1,32.9,69,-99,-99
農業試驗所,G2F820,2025-07-02T15:00:00+08:00,晴,-99,-99,320.0,3.1,33.8,63,-99,-99
