StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
東引,CAW010,2025-03-26T23:00:00+08:00,陰有靄,7-10,-99.0,230.0,2.9,17.7,94,-99.0,-99.0
東引,CAW010,2025-03-27T00:00:00+08:00,陰有靄,3-6,-99.0,230.0,2.7,17.3,95,-99.0,-99.0
東引,CAW010,2025-03-27T01:00:00+08:00,陰有靄,3-6,-99.0,240.0,3.4,17.9,96,-99.0,-99.0
東引,CAW010,2025-03-27T02:00:00+08:00,陰有靄,3-6,-99.0,240.0,2.9,17.4,96,-99.0,-99.0
東引,CAW010,2025-03-27T03:00:00+08:00,陰有靄,7-10,-99.0,240.0,3.0,17.5,96,-99.0,-99.0
東引,CAW010,2025-03-27T04:00:00+08:00,陰有靄,7-10,-99.0,250.0,2.6,17.6,95,-99.0,-99.0
東引,CAW010,2025-03-27T05:00:00+08:00,陰有靄,7-10,-99.0,230.0,2.8,17.9,94,-99.0,-99.0
東引,CAW010,2025-03-27T06:00:00+08:00,陰有靄,3-6,-99.0,240.0,3.0,17.3,96,-99.0,-99.0
東引,CAW010,2025-03-27T07:00:00+08:00,多雲有靄,7-10,-99.0,230.0,3.0,18.0,94,-99.0,-99.0
東引,CAW010,2025-03-27T08:00:00+08:00,多雲有靄,7-10,-99.0,240.0,3.3,18.3,91,-99.0,-99.0
東引,CAW010,2025-03-27T09:00:00+08:00,多雲有靄,7-10,-99.0,250.0,5.8,18.7,89,-99.0,-99.0
東引,CAW010,2025-03-27T10:00:00+08:00,多雲,11-15,-99.0,250.0,6.2,19.5,84,-99.0,-99.0
東引,CAW010,2025-03-27T11:00:00+08:00,陰,11-15,-99.0,260.0,6.2,19.3,85,-99.0,-99.0
東引,CAW010,2025-03-27T12:00:00+08:00,陰,11-15,-99.0,260.0,9.9,19.4,84,-99.0,-99.0
東引,CAW010,2025-03-27T13:00:00+08:00,陰,11-15,-99.0,260.0,7.2,19.2,85,-99.0,-99.0
東引,CAW010,2025-03-27T14:00:00+08:00,陰,11-15,-99.0,250.0,3.5,19.8,82,-99.0,-99.0
東引,CAW010,2025-03-27T15:00:00+08:00,陰,11-15,-99.0,220.0,3.8,20.2,80,-99.0,-99.0
